playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
montafr01,2021,1,OAK,AL,32,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
robindr01,2019,1,SLN,NL,5,7,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
sheffju01,2021,1,SEA,AL,21,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
grayso01,2021,1,CIN,NL,26,41,4,6,0,0,0,0,0,0,1,10,0,0,1,0,1
sosaed01,2022,1,SLN,NL,53,122,17,23,4,3,0,8,3,1,4,38,0,5,0,0,3
siscoch01,2021,1,BAL,AL,23,65,4,10,2,0,0,3,0,0,6,18,0,2,0,0,0
bettsmo01,2021,1,LAN,NL,122,466,93,123,29,3,23,58,10,5,68,86,2,11,0,5,5
roarkta01,2019,2,OAK,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smithri01,2021,1,ARI,NL,24,16,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0
freemmi01,2019,1,CLE,AL,75,177,27,49,8,0,4,24,1,2,22,61,0,4,6,4,2
rodried05,2019,1,BOS,AL,34,7,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0
raineta01,2019,1,WAS,NL,52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
castier01,2021,1,CHN,NL,4,8,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
pruitau01,2021,2,MIA,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garcile02,2022,1,CHA,AL,97,300,38,63,8,0,3,20,2,0,7,65,0,3,2,3,6
garrebr01,2021,1,MIA,NL,8,11,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0
martise01,2021,1,HOU,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmebu01,2020,1,DET,AL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piscost01,2021,1,OAK,AL,72,173,14,38,8,0,5,16,1,0,13,48,0,2,0,0,2
colege01,2021,1,NYA,AL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
henrypa01,2022,1,MIA,NL,15,28,2,4,0,0,0,4,0,0,5,8,0,2,0,0,0
chavimi01,2020,1,BOS,AL,42,146,16,31,5,2,5,19,3,0,8,50,0,2,0,2,6
guilmpr01,2021,1,MIA,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arenano01,2019,1,COL,NL,155,588,102,185,31,2,41,118,3,2,62,93,11,4,0,8,14
lopezre01,2021,1,CHA,AL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
felizne01,2021,2,LAN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
borucry01,2019,1,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greenhu01,2022,1,CIN,NL,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bertijo01,2020,1,MIA,NL,39,120,21,31,5,0,2,14,9,2,23,37,0,3,2,1,1
motteta01,2021,1,COL,NL,13,20,2,3,0,0,0,0,0,0,2,6,0,0,0,0,1
bushma01,2022,1,TEX,AL,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peterja01,2019,1,BAL,AL,29,100,14,22,3,1,2,11,4,1,6,24,0,1,0,1,1
friaslu01,2021,1,ARI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellyme01,2022,1,ARI,NL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hollade01,2021,1,DET,AL,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snellbl01,2020,1,TBA,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frankse01,2020,1,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puigya01,2019,1,CIN,NL,100,373,51,94,15,1,22,61,14,5,23,89,1,5,0,3,9
kirilal01,2021,1,MIN,AL,59,215,23,54,11,1,8,34,1,1,14,52,2,1,0,1,3
sadleca02,2019,2,LAN,NL,24,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
workmbr01,2020,1,BOS,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
szaputh01,2022,2,SFN,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suterbr01,2019,1,MIL,NL,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
handbr01,2021,2,NYN,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edwarjo02,2019,1,CLE,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haderjo01,2021,1,MIL,NL,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castijo03,2019,1,SDN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wadety01,2021,1,NYA,AL,103,127,31,34,5,1,0,5,17,6,16,37,1,1,0,0,3
laurera01,2019,1,OAK,AL,123,434,79,125,29,0,24,67,13,2,27,123,0,11,1,8,7
wainwad01,2020,1,SLN,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reynobr01,2019,1,PIT,NL,134,491,83,154,37,4,16,68,3,2,46,121,0,6,0,3,9
waldike01,2022,1,OAK,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreual01,2020,1,NYA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thornty01,2019,1,BOS,AL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
